"Country Name","Country Code","Year","GDP","t_event"
"Afghanistan","AFG","1991",NA,-10
"Afghanistan","AFG","1992",NA,-9
"Afghanistan","AFG","1993",NA,-8
"Afghanistan","AFG","1994",NA,-7
"Afghanistan","AFG","1995",NA,-6
"Afghanistan","AFG","1996",NA,-5
"Afghanistan","AFG","1997",NA,-4
"Afghanistan","AFG","1998",NA,-3
"Afghanistan","AFG","1999",NA,-2
"Afghanistan","AFG","2000",174.930991430166,-1
"Afghanistan","AFG","2001",138.706821676113,0
"Afghanistan","AFG","2002",178.954088379235,1
"Afghanistan","AFG","2003",198.871115728727,2
"Afghanistan","AFG","2004",221.763653873013,3
"Afghanistan","AFG","2005",254.184249149336,4
"Afghanistan","AFG","2006",274.218553561575,5
"Afghanistan","AFG","2007",376.223152003876,6
"Afghanistan","AFG","2008",381.73323802844,7
"Afghanistan","AFG","2009",452.053705477043,8
"Afghanistan","AFG","2010",560.621505463146,9
"Afghanistan","AFG","2011",606.694676337726,10
"Iraq","IRQ","1993",53.7437842348819,-10
"Iraq","IRQ","1994",198.182101881974,-9
"Iraq","IRQ","1995",619.135530927038,-8
"Iraq","IRQ","1996",485.258492784825,-7
"Iraq","IRQ","1997",936.341170908421,-6
"Iraq","IRQ","1998",900.937142559106,-5
"Iraq","IRQ","1999",1560.36466710272,-4
"Iraq","IRQ","2000",1980.18916038782,-3
"Iraq","IRQ","2001",1435.695683789,-2
"Iraq","IRQ","2002",1266.15961275094,-1
"Iraq","IRQ","2003",817.887862499622,0
"Iraq","IRQ","2004",1328.37157628292,1
"Iraq","IRQ","2005",1762.39360423421,2
"Iraq","IRQ","2006",2276.55435744086,3
"Iraq","IRQ","2007",3128.99010329066,4
"Iraq","IRQ","2008",4542.96609046032,5
"Iraq","IRQ","2009",3714.71205987194,6
"Iraq","IRQ","2010",4461.75196161555,7
"Iraq","IRQ","2011",5775.54229080293,8
"Iraq","IRQ","2012",6477.59618450955,9
"Iraq","IRQ","2013",6650.35282247395,10
"Libya","LBY","2001",6312.80030498965,-10
"Libya","LBY","2002",3718.29434696755,-9
"Libya","LBY","2003",4674.09943200321,-8
"Libya","LBY","2004",5773.76333234281,-7
"Libya","LBY","2005",8079.24957329001,-6
"Libya","LBY","2006",10048.8480434289,-5
"Libya","LBY","2007",11144.9448413435,-4
"Libya","LBY","2008",13906.1407818125,-3
"Libya","LBY","2009",9551.05403869755,-2
"Libya","LBY","2010",11600.9068649472,-1
"Libya","LBY","2011",7593.8391525702,0
"Libya","LBY","2012",14975.8902795144,1
"Libya","LBY","2013",11951.7134126011,2
"Libya","LBY","2014",8926.42074591474,3
"Libya","LBY","2015",7458.48917756374,4
"Libya","LBY","2016",7525.80299308216,5
"Libya","LBY","2017",9965.83236729757,6
"Libya","LBY","2018",11196.5854810844,7
"Libya","LBY","2019",9963.19489084483,8
"Libya","LBY","2020",6650.33810585348,9
"Libya","LBY","2021",4935.82787349801,10
"Panama","PAN","1979",1937.98107506361,-10
"Panama","PAN","1980",2357.09131999751,-9
"Panama","PAN","1981",2605.45529924397,-8
"Panama","PAN","1982",2811.40643706411,-7
"Panama","PAN","1983",2819.35128451397,-6
"Panama","PAN","1984",2874.94832112227,-5
"Panama","PAN","1985",2972.18070666064,-4
"Panama","PAN","1986",3019.48150533575,-3
"Panama","PAN","1987",2966.00967866653,-2
"Panama","PAN","1988",2508.78229277879,-1
"Panama","PAN","1989",2462.11022455924,0
"Panama","PAN","1990",2620.13827266274,1
"Panama","PAN","1991",2820.54547665418,2
"Panama","PAN","1992",3139.89952899581,3
"Panama","PAN","1993",3358.41411740053,4
"Panama","PAN","1994",3508.19570069218,5
"Panama","PAN","1995",3513.89737854631,6
"Panama","PAN","1996",3308.18430390528,7
"Panama","PAN","1997",3545.97670392453,8
"Panama","PAN","1998",3807.83868807701,9
"Panama","PAN","1999",3950.34144236614,10
